,Date,Forecast,Lower_CI,Upper_CI
1923,2022-08-23,294.85458840430357,254.3135868136013,335.3955899950059
1924,2022-08-24,295.00679767965477,254.19171152415763,335.82188383515194
1925,2022-08-25,295.15900889293493,254.07109740632492,336.2469203795449
1926,2022-08-26,295.3112184619768,253.95171552221126,336.67072140174236
1927,2022-08-29,295.4634294260747,253.8335441009897,337.0933147511597
1928,2022-08-30,295.6156392065356,253.7165566921998,337.5147217208714
1929,2022-08-31,295.76784999125476,253.6007321609703,337.93496782153926
1930,2022-09-01,295.9200599239098,253.48604615084807,338.35407369697145
1931,2022-09-02,296.0722705794997,253.37247827634627,338.7720628826531
1932,2022-09-06,296.2244806217146,253.26000596974433,339.1889552736848
1933,2022-09-07,296.37669118434826,253.14860965572126,339.60477271297526
1934,2022-09-08,296.528901305432,253.03826831547798,340.019534295386
1935,2022-09-09,296.6811118011493,252.92896320858773,340.4332603937109
1936,2022-09-12,296.8333219790083,252.8206746742747,340.8459692837419
1937,2022-09-13,296.9855324265546,252.71338480743705,341.25768004567215
1938,2022-09-14,297.13774264528433,252.60707515123133,341.6684101393373
1939,2022-09-15,297.28995305815374,252.50172862030738,342.0781774960001
1940,2022-09-16,297.4421633063051,252.39732783558918,342.486998777021
1941,2022-09-19,297.5943736942117,252.2938565057223,342.89489088270113
1942,2022-09-20,297.74658396354283,252.1912982246189,343.3018697024668
1943,2022-09-21,297.89879433347943,252.08963746303888,343.70795120392
1944,2022-09-22,298.0510046180572,251.98885869965227,344.1131505364622
1945,2022-09-23,298.2032149750578,251.88894713213028,344.5174828179853
1946,2022-09-26,298.3554252706111,251.78988804862263,344.92096249259953
1947,2022-09-27,298.50763561829945,251.69166733710034,345.32360389949855
1948,2022-09-28,298.6598459217538,251.59427103017785,345.7254208133297
1949,2022-09-29,298.81205626273857,251.49768566938917,346.12642685608796
1950,2022-09-30,298.96426657188056,251.40189797503612,346.52663516872497
1951,2022-10-03,299.11647690803954,251.30689510619524,346.9260587098838
1952,2022-10-04,299.2686872212759,251.21266442077842,347.3247100217734
1953,2022-10-05,299.420897553961,251.11919366063108,347.72260144729097
1954,2022-10-06,299.57310787014484,251.02647077671955,348.11974496357016
1955,2022-10-07,299.7253182003292,250.93448406044763,348.51615234021074
1956,2022-10-10,299.87752851863473,250.8432220158912,348.9118350213783
