Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue,Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
89,185.8169008,8.44E-09,182.3730967,2.13E-08,215,409.2152014,3.12E-14,391.6057352,2.02E-12
90,187.2257434,8.46E-09,183.7257322,2.16E-08,216,410.1516581,3.46E-14,392.4536631,2.25E-12
91,187.3410004,1.20E-08,183.836341,3.03E-08,217,415.0980197,1.45E-14,396.9302704,1.09E-12
92,187.6535977,1.60E-08,184.1361958,4.03E-08,218,415.1100951,2.01E-14,396.9411938,1.48E-12
93,206.495397,1.35E-10,202.2017718,4.51E-10,219,415.1715216,2.75E-14,396.9967334,1.98E-12
94,208.84593,1.05E-10,204.4544509,3.60E-10,220,418.1400948,1.86E-14,399.6795203,1.45E-12
95,209.0651725,1.49E-10,204.6644712,5.07E-10,221,418.2286016,2.53E-14,399.7594681,1.94E-12
96,210.5717527,1.46E-10,206.107025,5.06E-10,222,419.0338087,2.88E-14,400.4864591,2.22E-12
97,229.2671699,1.02E-12,223.9998202,4.78E-12,223,419.1327037,3.89E-14,400.5757047,2.94E-12
98,229.6853837,1.40E-12,224.399898,6.54E-12,224,419.1933021,5.29E-14,400.6303642,3.92E-12
99,229.6891191,2.16E-12,224.4034698,9.99E-12,225,419.4806721,6.80E-14,400.8894458,4.98E-12
100,229.6950837,3.32E-12,224.4091707,1.52E-11,226,424.1707996,3.07E-14,405.1158487,2.58E-12
101,238.4035288,4.01E-13,232.7286436,2.11E-12,227,425.7392651,2.92E-14,406.5285559,2.53E-12
102,238.4620089,6.12E-13,232.7844862,3.19E-12,228,426.8379721,3.10E-14,407.517678,2.73E-12
103,238.8070426,8.54E-13,233.1138093,4.43E-12,229,427.3990039,3.73E-14,408.0225093,3.28E-12
104,240.8867336,7.18E-13,235.0979031,3.82E-12,230,429.3644557,3.22E-14,409.7902227,2.96E-12
105,243.6511305,4.94E-13,237.7340301,2.73E-12,231,429.3856866,4.41E-14,409.8093085,3.96E-12
106,244.1843113,6.51E-13,238.2422397,3.59E-12,232,429.5617357,5.80E-14,409.967493,5.13E-12
