,Date,Forecast,Lower_CI,Upper_CI
1925,2022-08-25,123.3118042686046,102.05404399233814,144.56956454487107
1926,2022-08-26,123.36579866812804,101.97352171748112,144.75807561877497
1927,2022-08-29,123.41286281137691,101.88657402931193,144.9391515934419
1928,2022-08-30,123.46674119214254,101.80733524118489,145.12614714310018
1929,2022-08-31,123.5139194118903,101.7218842290056,145.30595459477502
1930,2022-09-01,123.56768562590081,101.6438819720789,145.4914892797227
1931,2022-09-02,123.61497413463076,101.559874085449,145.67007418381252
1932,2022-09-06,123.66863190599638,101.48306418834443,145.85419962364833
1933,2022-09-07,123.71602704194325,101.40044882404175,146.03160525984475
1934,2022-09-08,123.769579971128,101.32478967654875,146.21437026570726
1935,2022-09-09,123.81707819410283,101.24351895675706,146.39063743144862
1936,2022-09-12,123.8705297620297,101.16897130896909,146.57208821509033
